,SMSCG,NDOI,Tide
1/1/1923,1,29116.34118,6.843799591
1/2/1923,1,28944.86599,7.281499863
1/3/1923,1,28767.85217,7.422100067
1/4/1923,1,28585.80518,7.27820015
1/5/1923,1,28399.23053,6.907500267
1/6/1923,1,28208.6337,6.224500179
1/7/1923,1,28014.52017,5.434899807
1/8/1923,1,27817.39543,5.094099998
1/9/1923,1,27617.76496,4.697799683
1/10/1923,1,27416.13425,4.860699654
1/11/1923,1,27213.00879,5.658400059
1/12/1923,1,27008.89407,6.408800125
1/13/1923,1,26804.29556,7.018599987
1/14/1923,1,26599.71876,7.391200066
1/15/1923,1,26395.66914,7.476399899
1/16/1923,1,26188.9579,7.470299721
1/17/1923,1,25958.4373,7.191900253
1/18/1923,1,25702.22867,6.635100365
1/19/1923,1,25422.20462,5.955600262
1/20/1923,1,25120.23773,5.102900028
1/21/1923,1,24798.20062,4.48239994
1/22/1923,1,24457.96588,3.985199928
1/23/1923,1,24101.4061,3.481600285
1/24/1923,1,23730.3939,3.256800175
1/25/1923,1,23346.80187,3.681099892
1/26/1923,1,22952.5026,4.263799667
1/27/1923,1,22549.3687,4.936399937
1/28/1923,1,22139.27277,5.610999584
1/29/1923,1,21724.08741,6.217899799
1/30/1923,1,21305.68522,6.906899929
1/31/1923,1,20885.93879,7.299900055
2/1/1923,1,20466.72072,7.426499844
2/2/1923,1,20049.90363,7.217000008
2/3/1923,1,19637.36009,6.685400009
2/4/1923,1,19230.96273,5.862100124
2/5/1923,1,18832.58412,5.37650013
2/6/1923,1,18444.09688,4.90170002
2/7/1923,1,18067.3736,5.018700123
2/8/1923,1,17704.28689,5.289399624
2/9/1923,1,17356.70934,5.68900013
2/10/1923,1,17026.51355,6.075700283
2/11/1923,1,16715.57212,6.387700081
2/12/1923,1,16425.75765,6.545800209
2/13/1923,1,16158.94275,6.64070034
2/14/1923,1,15917,6.577199936
2/15/1923,1,15686.5116,6.274400234
2/16/1923,1,15453.31865,5.783099651
2/17/1923,1,15218.18211,5.178100109
2/18/1923,1,14981.86294,4.518400192
2/19/1923,1,14745.12212,4.041699886
2/20/1923,1,14508.72061,3.625799656
2/21/1923,1,14273.41938,3.553700209
2/22/1923,1,14039.97938,3.564399958
2/23/1923,1,13809.1616,3.743400097
2/24/1923,1,13581.72698,4.077899933
2/25/1923,1,13358.43651,4.601500034
2/26/1923,1,13140.05114,5.260900021
2/27/1923,1,12927.33185,5.926199913
2/28/1923,1,12721.03959,6.427999973
3/1/1923,1,12521.93533,6.827500343
3/2/1923,1,12330.78004,6.837999821
3/3/1923,1,12148.33469,6.47510004
3/4/1923,1,11975.36024,5.960700035
3/5/1923,1,11812.61766,5.547500134
3/6/1923,1,11660.86791,5.680199623
3/7/1923,1,11520.87196,5.711599827
3/8/1923,1,11393.39077,5.65350008
3/9/1923,1,11279.18531,5.515199661
3/10/1923,1,11179.01655,5.403800011
3/11/1923,1,11093.64546,5.383999825
3/12/1923,1,11023.83299,5.453699589
3/13/1923,1,10970.34012,5.540899754
3/14/1923,1,10933.9278,5.527500153
3/15/1923,1,10915.35702,5.403400421
3/16/1923,1,10926.7739,5.119299889
3/17/1923,1,11034.22552,4.64040041
3/18/1923,1,11242.12766,4.33769989
3/19/1923,1,11543.17483,4.252299786
3/20/1923,1,11930.06154,4.416500092
3/21/1923,1,12395.48229,4.344600201
3/22/1923,1,12932.1316,4.317800045
3/23/1923,1,13532.70396,4.158200264
3/24/1923,1,14189.89389,4.10160017
3/25/1923,1,14896.3959,4.149199963
3/26/1923,1,15644.90449,4.377500057
3/27/1923,1,16428.11417,4.783900261
3/28/1923,1,17238.71944,5.282599926
3/29/1923,1,18069.41482,5.660599709
3/30/1923,1,18912.89481,5.771199703
3/31/1923,1,19761.85393,5.893199921
4/1/1923,1,20608.98666,6.052800179
4/2/1923,1,21446.98754,6.554599762
4/3/1923,1,22268.55105,6.606900215
4/4/1923,1,23066.37171,6.856699944
4/5/1923,1,23833.14403,6.568000317
4/6/1923,1,24561.56252,6.034500122
4/7/1923,1,25244.32167,5.46930027
4/8/1923,1,25874.11601,5.018199921
4/9/1923,1,26443.64003,4.702000141
4/10/1923,1,26945.58825,4.686999798
4/11/1923,1,27372.65516,4.642799854
4/12/1923,1,27717.53529,4.684400082
4/13/1923,1,27972.92313,4.477899551
4/14/1923,1,28131.5132,4.564599991
4/15/1923,1,28186,4.863299847
4/16/1923,1,28168.4189,5.061000347
4/17/1923,1,28116.7431,5.257800102
4/18/1923,1,28032.5739,5.163899899
4/19/1923,1,27917.51256,5.258999825
4/20/1923,1,27773.16038,5.142699718
4/21/1923,1,27601.11863,4.885900021
4/22/1923,1,27402.9886,4.609300137
4/23/1923,1,27180.37155,4.41920042
4/24/1923,1,26934.86878,4.35890007
4/25/1923,1,26668.08156,4.631799698
4/26/1923,1,26381.61118,4.948599815
4/27/1923,1,26077.05891,5.346099854
4/28/1923,1,25756.02603,5.556299686
4/29/1923,1,25420.11384,6.479199886
4/30/1923,1,25070.92359,7.224699974
5/1/1923,1,24710.05658,7.614200115
5/2/1923,1,24339.11409,7.604000092
5/3/1923,1,23959.6974,7.530200005
5/4/1923,1,23573.40778,7.081699848
5/5/1923,1,23181.84652,6.338899612
5/6/1923,1,22786.6149,5.487099648
5/7/1923,1,22389.3142,4.84319973
5/8/1923,1,21991.5457,4.694700241
5/9/1923,1,21594.91067,4.576299667
5/10/1923,1,21201.01041,4.380399704
5/11/1923,1,20811.44618,4.324100018
5/12/1923,1,20427.81928,4.767800331
5/13/1923,1,20051.73098,5.264500141
5/14/1923,1,19684.78255,5.493999958
5/15/1923,1,19328.57529,5.889200211
5/16/1923,1,18978.72235,5.923400402
5/17/1923,1,18601.42639,6.057899952
5/18/1923,1,18193.65535,5.844499588
5/19/1923,1,17758.42422,5.864599705
5/20/1923,1,17298.74797,5.626700401
5/21/1923,1,16817.64159,5.261600018
5/22/1923,1,16318.12005,4.807600021
5/23/1923,1,15803.19833,4.913500309
5/24/1923,1,15275.89141,5.042399883
5/25/1923,1,14739.21427,5.129700184
5/26/1923,1,14196.18188,5.411300182
5/27/1923,1,13649.80923,6.51570034
5/28/1923,1,13103.11129,7.350900173
5/29/1923,1,12559.10304,7.860300064
5/30/1923,1,12020.79947,8.147299767
5/31/1923,1,11491.21554,8.026800156
6/1/1923,1,10973.36624,7.551400185
6/2/1923,1,10470.26655,7.187399864
6/3/1923,1,9984.931445,6.249400139
6/4/1923,1,9520.375902,5.319700241
6/5/1923,1,9079.614901,4.938600063
6/6/1923,1,8665.663421,4.577000141
6/7/1923,1,8281.53644,4.330500126
6/8/1923,1,7930.248937,4.073500156
6/9/1923,1,7614.81589,4.598899841
6/10/1923,1,7338.252279,5.191999912
6/11/1923,1,7103.573081,5.610300064
6/12/1923,1,6913.793276,6.098700047
6/13/1923,1,6771.927842,6.336100101
6/14/1923,1,6680.991757,6.596000195
6/15/1923,1,6644,6.627600193
6/16/1923,1,6635.401316,6.481699944
6/17/1923,1,6627.597886,6.414599895
6/18/1923,1,6620.534837,6.159200191
6/19/1923,1,6614.157301,5.552199841
6/20/1923,1,6608.410408,5.311100006
6/21/1923,1,6603.239287,5.181300163
6/22/1923,1,6598.589068,5.060500145
6/23/1923,1,6594.404882,5.157299995
6/24/1923,1,6590.631857,6.148099899
6/25/1923,1,6587.215124,6.976500034
6/26/1923,1,6584.099814,7.572399616
6/27/1923,1,6581.231055,8.044099808
6/28/1923,1,6578.553978,8.131000519
6/29/1923,1,6576.013713,7.816699982
6/30/1923,1,6573.555389,7.12680006
7/1/1923,0,6571.124136,6.879000187
7/2/1923,0,6568.665086,6.050600052
7/3/1923,0,6566.123366,5.204200268
7/4/1923,0,6563.444108,4.691800117
7/5/1923,0,6560.572441,4.238300323
7/6/1923,0,6557.453495,3.901500225
7/7/1923,0,6554.0324,4.059500217
7/8/1923,0,6550.254286,4.567099571
7/9/1923,0,6546.064283,5.167500019
7/10/1923,0,6541.407521,5.761899948
7/11/1923,0,6536.229129,6.20359993
7/12/1923,0,6530.474238,6.642399788
7/13/1923,0,6524.087978,6.911300182
7/14/1923,0,6517.015477,6.89950037
7/15/1923,0,6509.201868,6.887599945
7/16/1923,0,6498.900083,6.558000088
7/17/1923,0,6476.28089,6.235000134
7/18/1923,0,6440.565293,5.637899876
7/19/1923,0,6392.708583,5.416899681
7/20/1923,0,6333.666048,5.083600044
7/21/1923,0,6264.392979,5.419399738
7/22/1923,0,6185.844667,5.623300076
7/23/1923,0,6098.9764,6.284399986
7/24/1923,0,6004.743468,6.924399853
7/25/1923,0,5904.101163,7.416399956
7/26/1923,0,5798.004772,7.647200108
7/27/1923,0,5687.409588,7.543699741
7/28/1923,0,5573.270898,7.08039999
7/29/1923,0,5456.543994,6.639200211
7/30/1923,0,5338.184165,6.152499676
7/31/1923,0,5219.1467,5.448200226
8/1/1923,0,5100.386891,4.757599831
8/2/1923,0,4982.860027,4.207300186
8/3/1923,0,4867.521397,3.673699856
8/4/1923,0,4755.326292,3.80850029
8/5/1923,0,4647.230002,4.090400219
8/6/1923,0,4544.187816,4.375699997
8/7/1923,0,4447.155025,4.901800156
8/8/1923,0,4357.086917,5.508500099
8/9/1923,0,4274.938784,6.134799957
8/10/1923,0,4201.665915,6.590400219
8/11/1923,0,4138.223601,6.793400288
8/12/1923,0,4085.56713,6.978500366
8/13/1923,0,4044.651792,6.742000103
8/14/1923,0,4016.432879,6.208199978
8/15/1923,0,4001.865679,5.91590023
8/16/1923,0,4000.359638,5.433700085
8/17/1923,0,4003.165212,4.949299812
8/18/1923,0,4008.593561,5.331699848
8/19/1923,0,4016.453937,5.707300186
8/20/1923,0,4026.555593,5.731499672
8/21/1923,0,4038.707782,6.162399769
8/22/1923,0,4052.719756,6.523199558
8/23/1923,0,4068.400769,6.765200138
8/24/1923,0,4085.560073,6.784999847
8/25/1923,0,4104.006921,6.534699917
8/26/1923,0,4123.550566,6.22149992
8/27/1923,0,4144.00026,5.681300163
8/28/1923,0,4165.165256,5.083799839
8/29/1923,0,4186.854807,4.591199875
8/30/1923,0,4208.878166,4.098100185
8/31/1923,0,4231.044585,3.721000195
9/1/1923,1,4253.163318,3.714600086
9/2/1923,1,4275.043616,3.803499937
9/3/1923,1,4296.494733,4.034199715
9/4/1923,1,4317.325922,4.240099907
9/5/1923,1,4337.346434,4.603499889
9/6/1923,1,4356.365524,5.176099777
9/7/1923,1,4374.192443,5.680500031
9/8/1923,1,4390.636445,6.161499977
9/9/1923,1,4405.506783,6.469200134
9/10/1923,1,4418.612708,6.390100002
9/11/1923,1,4429.763474,6.149099827
9/12/1923,1,4438.768333,5.732500076
9/13/1923,1,4445.436539,5.791199684
9/14/1923,1,4449.577343,5.925600052
9/15/1923,1,4451,5.85010004
9/16/1923,1,4449.577343,5.683000088
9/17/1923,1,4445.436539,5.635799885
9/18/1923,1,4438.768333,5.496799946
9/19/1923,1,4429.763474,5.63740015
9/20/1923,1,4418.612708,5.731299877
9/21/1923,1,4405.506783,5.735599995
9/22/1923,1,4390.636445,5.653699875
9/23/1923,1,4374.192443,5.382699966
9/24/1923,1,4356.365524,4.991499901
9/25/1923,1,4337.346434,4.750299931
9/26/1923,1,4317.325922,4.656299591
9/27/1923,1,4296.494733,4.603499889
9/28/1923,1,4275.043616,4.582600117
9/29/1923,1,4253.163318,4.415800095
9/30/1923,1,4231.044585,4.235899925
10/1/1923,1,4208.878166,4.083299637
10/2/1923,1,4186.854807,4.051300049
10/3/1923,1,4165.165256,4.210700035
10/4/1923,1,4144.00026,4.303199768
10/5/1923,1,4123.550566,4.727399826
10/6/1923,1,4104.006921,5.162899971
10/7/1923,1,4085.560073,5.447800159
10/8/1923,1,4068.400769,5.63160038
10/9/1923,1,4052.719756,5.694699764
10/10/1923,1,4038.707782,6.501200199
10/11/1923,1,4026.555593,6.974399567
10/12/1923,1,4016.453937,7.038099766
10/13/1923,1,4008.593561,6.904900074
10/14/1923,1,4003.165212,6.503200054
10/15/1923,1,4000.359638,5.954100132
10/16/1923,1,4001.215076,5.403000355
10/17/1923,1,4010.697742,4.953799725
10/18/1923,1,4029.054994,4.82640028
10/19/1923,1,4055.652316,5.040100098
10/20/1923,1,4089.85519,5.064700127
10/21/1923,1,4131.029099,4.887199879
10/22/1923,1,4178.539525,4.938499928
10/23/1923,1,4231.751951,5.100399971
10/24/1923,1,4290.03186,5.418699741
10/25/1923,1,4352.744735,5.466599941
10/26/1923,1,4419.256057,5.531699657
10/27/1923,1,4488.931311,5.425300121
10/28/1923,1,4561.135979,5.180500031
10/29/1923,1,4635.235542,4.89109993
10/30/1923,1,4710.595485,4.607999802
10/31/1923,1,4786.58129,4.332499981
11/1/1923,1,4862.558439,4.155600071
11/2/1923,1,4937.892415,4.278299809
11/3/1923,1,5011.948701,4.387899876
11/4/1923,1,5084.092779,4.93089962
11/5/1923,1,5153.690133,5.194900036
11/6/1923,1,5220.106244,6.097899914
11/7/1923,1,5282.706597,7.106600285
11/8/1923,1,5340.856672,7.722199917
11/9/1923,1,5393.921954,8.064899445
11/10/1923,1,5441.267924,7.993899822
11/11/1923,1,5482.260066,7.515599728
11/12/1923,1,5516.263861,6.759900093
11/13/1923,1,5542.644794,5.882200241
11/14/1923,1,5560.768346,5.08769989
11/15/1923,1,5570,4.843800068
11/16/1923,1,5574.360607,4.663100243
11/17/1923,1,5578.313295,4.76970005
11/18/1923,1,5581.886964,4.657100201
11/19/1923,1,5585.110515,5.051800251
11/20/1923,1,5588.012847,5.427999973
11/21/1923,1,5590.622861,5.795399666
