,Emmaton,Jersey Point,Collinsville,Rock Slough,Antioch,Mallard,LosVaqueros,Martinez,MiddleRiver,Vict Intake,CVP Intake,CCFB_OldR
1940-02-08,183.95657348632812,257.5165710449219,200.30226135253906,345.1744384765625,260.6838684082031,209.36985778808594,498.989013671875,1287.11572265625,586.199462890625,642.9141845703125,645.5826416015625,620.5413208007812
1940-02-09,181.2953338623047,253.47488403320312,197.83575439453125,339.15411376953125,257.9334411621094,208.8713836669922,488.64959716796875,1094.473388671875,577.5000610351562,625.76318359375,636.932373046875,609.9525146484375
1940-02-10,179.9716339111328,249.3099822998047,194.10006713867188,330.84136962890625,255.9569854736328,206.40684509277344,476.9546813964844,978.7770385742188,571.0648193359375,613.2600708007812,626.585205078125,597.2408447265625
1940-02-11,179.08795166015625,244.5836944580078,190.8905029296875,322.54473876953125,258.70733642578125,203.67408752441406,471.24810791015625,851.844482421875,565.4725952148438,607.6468505859375,622.5657958984375,592.4485473632812
1940-02-12,178.09841918945312,240.3164825439453,188.6241912841797,313.64764404296875,258.85894775390625,202.1864471435547,464.5916442871094,786.0939331054688,557.745361328125,598.7040405273438,617.7443237304688,588.7058715820312
1940-02-13,177.4539031982422,237.04527282714844,187.58815002441406,304.72528076171875,256.81109619140625,201.64353942871094,456.8458557128906,873.137939453125,550.5515747070312,588.8870849609375,612.4321899414062,581.3912353515625
1940-02-14,178.77757263183594,233.97491455078125,185.11964416503906,295.7421569824219,256.91632080078125,198.58506774902344,451.1847229003906,852.1654663085938,547.8177490234375,589.2262573242188,606.7958984375,574.9608764648438
1940-02-15,181.2780303955078,233.2581329345703,188.6513214111328,293.6711120605469,259.7244567871094,201.63714599609375,465.4176330566406,1017.0099487304688,554.7615966796875,603.3484497070312,620.532958984375,589.58740234375
1940-02-16,182.342529296875,233.10093688964844,189.94268798828125,293.7113037109375,259.3680725097656,204.95074462890625,465.59747314453125,1202.8797607421875,554.987060546875,612.2703247070312,620.9790649414062,585.9624633789062
1940-02-17,184.10699462890625,234.19146728515625,191.9368896484375,290.0168762207031,251.1131134033203,205.3021240234375,448.3453674316406,1367.4088134765625,559.9066772460938,595.3111572265625,609.4490966796875,588.8500366210938
1940-02-18,185.67904663085938,234.1552276611328,192.87193298339844,292.962158203125,258.2193603515625,207.46888732910156,473.9595642089844,1576.409912109375,563.849609375,629.92529296875,629.17822265625,590.59765625
1940-02-19,185.43072509765625,235.0927734375,194.81292724609375,294.0389404296875,252.5699920654297,208.5523681640625,464.2154541015625,1762.308837890625,551.7517700195312,610.2514038085938,630.0030517578125,599.4755249023438
1940-02-20,183.04673767089844,233.94007873535156,192.90000915527344,291.711669921875,249.88246154785156,208.10568237304688,453.6924133300781,1834.7169189453125,540.3924560546875,591.5066528320312,617.1516723632812,583.8209838867188
1940-02-21,182.20738220214844,232.47019958496094,190.81243896484375,288.2608642578125,245.52296447753906,206.48060607910156,448.4444885253906,1738.5025634765625,535.6339721679688,581.5790405273438,607.79443359375,579.0751342773438
1940-02-22,181.47222900390625,230.26025390625,189.4679412841797,283.7058410644531,243.59475708007812,204.83889770507812,442.9188232421875,1619.5833740234375,528.6001586914062,574.87109375,605.1338500976562,577.9407958984375
1940-02-23,179.95587158203125,227.16209411621094,188.32565307617188,279.8525085449219,245.64659118652344,203.65579223632812,442.83990478515625,1354.9373779296875,522.7576293945312,571.4473266601562,605.4312744140625,581.7789306640625
1940-02-24,179.4332275390625,224.6918182373047,188.1386260986328,277.7196960449219,244.83218383789062,203.53497314453125,444.5061950683594,1213.65576171875,520.2894287109375,571.1141967773438,607.8126831054688,583.8621826171875
1940-02-25,179.13380432128906,223.1173858642578,186.90916442871094,273.98089599609375,240.31654357910156,203.03419494628906,436.1955871582031,1083.26318359375,515.7068481445312,557.7021484375,600.9562377929688,578.158203125
1940-02-26,179.77886962890625,221.47366333007812,186.1007080078125,270.9171142578125,242.04701232910156,201.4053497314453,437.03753662109375,1057.9185791015625,516.4683227539062,560.8800659179688,604.1237182617188,582.68798828125
1940-02-27,184.07518005371094,224.29806518554688,186.48753356933594,274.3384704589844,245.46827697753906,201.1293487548828,463.9715881347656,1101.390380859375,535.8079833984375,593.2470703125,624.475341796875,604.8071899414062
1940-02-28,195.3866424560547,234.23635864257812,192.79029846191406,287.1962585449219,251.67007446289062,203.8349609375,505.8261413574219,1026.454833984375,574.3502807617188,649.5128784179688,675.9557495117188,652.5667724609375
1940-02-29,202.72572326660156,248.6876678466797,204.07969665527344,308.25885009765625,268.0679931640625,215.7024688720703,561.6481323242188,879.1163940429688,619.6923217773438,723.4513549804688,732.4490966796875,702.1944580078125
1940-03-01,204.13865661621094,263.45208740234375,209.4923095703125,332.6353759765625,282.87115478515625,227.65728759765625,612.0319213867188,814.7839965820312,639.4114990234375,784.5028686523438,775.7890014648438,730.3086547851562
1940-03-02,199.62109375,275.7821960449219,206.72247314453125,349.0589599609375,295.8830871582031,229.13963317871094,622.0673217773438,592.626220703125,639.507568359375,771.3731079101562,788.3599853515625,735.8265991210938
1940-03-03,193.74876403808594,283.01861572265625,202.94573974609375,356.7264099121094,302.2526550292969,224.9524688720703,588.6766357421875,483.12353515625,626.0869140625,723.83837890625,756.779541015625,700.2157592773438
1940-03-04,184.3681182861328,282.2919921875,195.52410888671875,357.7568359375,303.58013916015625,218.27186584472656,546.310791015625,391.71978759765625,616.2201538085938,669.4312744140625,607.1311645507812,565.30224609375
1940-03-05,180.77301025390625,279.5604248046875,191.63873291015625,359.4656066894531,303.3723449707031,211.15444946289062,524.2129516601562,358.8272705078125,606.1875,654.5485229492188,498.4000244140625,500.383056640625
1940-03-06,179.5093536376953,274.45428466796875,190.521728515625,361.356201171875,293.4289245605469,205.64161682128906,500.94256591796875,348.95611572265625,590.2401733398438,627.7898559570312,463.55694580078125,480.3956298828125
1940-03-07,179.1036376953125,269.5870666503906,189.72488403320312,362.15093994140625,288.3398132324219,201.37852478027344,489.2038879394531,321.14227294921875,578.9227905273438,606.652099609375,439.75555419921875,457.4457092285156
1940-03-08,179.2457275390625,265.19342041015625,189.80088806152344,360.3813171386719,282.49188232421875,199.42776489257812,484.38177490234375,306.02252197265625,572.8590087890625,593.9326782226562,424.7755432128906,439.78369140625
1940-03-09,179.00865173339844,260.59637451171875,189.17283630371094,354.2825927734375,274.7794494628906,198.52699279785156,482.2745666503906,291.8686828613281,568.453857421875,588.5518188476562,415.6370849609375,434.2982177734375
1940-03-10,178.59312438964844,254.60218811035156,188.27301025390625,343.4579772949219,267.9725036621094,197.0782928466797,476.56781005859375,282.0888977050781,560.4205932617188,583.3560180664062,409.38519287109375,431.491455078125
1940-03-11,178.07078552246094,246.7945098876953,187.08485412597656,329.63037109375,261.66558837890625,196.26016235351562,469.4435119628906,275.4866943359375,544.8433227539062,573.9281005859375,401.96075439453125,426.8379821777344
1940-03-12,177.31173706054688,238.2035675048828,185.6320343017578,315.43701171875,255.51641845703125,196.0099334716797,464.147216796875,280.80499267578125,526.1927490234375,560.091552734375,398.59637451171875,424.97369384765625
1940-03-13,176.5006866455078,229.78738403320312,183.8782196044922,298.86376953125,250.61224365234375,195.04905700683594,445.2743835449219,293.6075744628906,505.32757568359375,539.3453979492188,399.1235046386719,428.8409729003906
1940-03-14,176.03277587890625,222.3391876220703,182.19268798828125,281.11749267578125,246.4930877685547,193.86851501464844,427.29156494140625,308.6498718261719,486.5572814941406,518.47998046875,393.87750244140625,426.7212829589844
1940-03-15,175.6459197998047,216.21820068359375,180.61083984375,263.7965087890625,241.48471069335938,192.76446533203125,409.0114440917969,333.6893005371094,469.5113525390625,497.2846374511719,390.81500244140625,415.43048095703125
1940-03-16,175.46327209472656,210.6417236328125,179.8568572998047,250.95652770996094,238.05125427246094,192.74078369140625,395.9646911621094,328.56158447265625,452.64703369140625,480.9955139160156,383.19354248046875,398.41265869140625
1940-03-17,175.39210510253906,206.02902221679688,179.38525390625,241.75843811035156,234.79014587402344,192.9632110595703,388.0481872558594,321.6844177246094,435.46075439453125,468.00067138671875,373.8607482910156,390.2677001953125
1940-03-18,175.395263671875,202.80197143554688,179.27000427246094,234.79547119140625,229.2699432373047,191.89187622070312,375.6150817871094,328.59564208984375,417.6521301269531,450.9700927734375,370.1931457519531,385.292724609375
1940-03-19,175.4741973876953,200.38621520996094,179.38619995117188,229.4385528564453,224.9181365966797,190.33091735839844,366.8695983886719,309.9759521484375,403.0719909667969,436.0682678222656,361.3763427734375,373.89886474609375
1940-03-20,175.57308959960938,198.48275756835938,179.57601928710938,225.2176513671875,220.7703094482422,188.83291625976562,360.4007263183594,331.1224365234375,391.44720458984375,425.18011474609375,355.05352783203125,362.7056579589844
